tconst	averageRating	numVotes
tt0001671	5.3	41
tt0001680	5	671
tt0001681	4.7	326
tt0001692	5.6	21
tt0001693	7.1	25
tt0001695	4.8	67
tt0001696	5.8	13
tt0001701	4.6	90
tt0001706	5	19
tt0001709	5.5	48
tt0001712	4.6	8
tt0001715	3.9	10
tt0001717	3.4	25
tt0001724	5.7	308
tt0001728	6.4	18
tt0001732	6	32
tt0001733	5.6	24
tt0001737	7.1	1915
tt0001738	6.4	65
tt0001740	6.5	1391
tt0001741	4.9	24
tt0001742	6.1	15
tt0001747	5.4	30
tt0001753	6	18
tt0001761	5.4	6
tt0001762	4.6	85
tt0001769	5.4	94
tt0001771	5.5	178
tt0001772	6	24
tt0001776	6.4	261
tt0001777	5.8	23
tt0001779	7.2	18
tt0001787	8.1	16
tt0001789	6.3	315
tt0001790	6	57
tt0001791	5.3	12
tt0001799	4.8	17
tt0001803	2.8	14
tt0001812	5.5	15
tt0001815	6.6	32
tt0001817	5.1	95
tt0001832	5.9	70
tt0001840	4.9	45
tt0001845	5.1	11
tt0001848	4.5	46
tt0001852	4.1	12
tt0001856	4.8	57
tt0001857	5.6	237
tt0001862	5.3	53
tt0001865	5.7	96
tt0001868	5.4	13
tt0001871	4.9	64
tt0001872	7.5	58
tt0001874	7.9	14
tt0001877	5.3	80
tt0001886	5.2	13
tt0001889	3.7	16
tt0001892	5.8	278
tt0001896	5.1	88
tt0001898	5.6	12
tt0001910	5.3	80
tt0001911	3.6	25
tt0001913	5.4	255
tt0001915	5.4	157
tt0001921	6.2	19
tt0001923	7.1	39
tt0001925	5	57
tt0001926	4.6	15
tt0001927	6.6	14
tt0001928	4.5	57
tt0001941	5.1	101
tt0001949	5.8	30
tt0001956	6.1	18
tt0001957	5	65
tt0001963	5.6	180
tt0001964	5.9	110
tt0001967	6.2	14
tt0001973	6	311
tt0001978	5.9	63
tt0001987	6.5	23
tt0001989	6.6	16
tt0001993	4.1	21
tt0001998	4.5	42
tt0002004	6	18
tt0002020	4.7	165
tt0002022	6	12
tt0002026	4.5	16
tt0002029	6	75
tt0002031	4.5	25
tt0002033	5.3	45
tt0002034	5.6	75
tt0002041	4.7	71
tt0002045	4.3	96
tt0002046	4.3	12
tt0002054	5.8	250
tt0002056	6.5	262
tt0002064	5	92
tt0002065	6.4	63
tt0002066	3.9	103
tt0002068	5.5	53
tt0002070	5.1	55
tt0002071	4.2	20
tt0002078	5.3	68
tt0002082	6	431
tt0002083	6.1	347
tt0002093	5.8	41
tt0002095	5.6	38
